dB_Tiefpass, delta_dB_Hochpass, dB_Hochpass, delta_dB_highpass, dB_Sperrfilter, delta_dB_Sperrfilter
-0.13501654714170028, 0.12283702927427508, -15.40811331567678, 0.12283702927427506, -0.20332009417795166, 0.12283702927427508
-0.2952351279609337, 0.12283702927427508, -11.974470512664258, 0.12283702927427508, -1.2722064787172738, 0.12283702927427508
-0.505670741472368, 0.12283702927427509, -9.654792633556788, 0.12283702927427509, -3.012338149908902, 0.12283702927427508
-1.118469905391454, 0.12283702927427508, -6.693541924448034, 0.12283702927427508, -7.716592373395659, 0.12283702927427508
-1.8327809507221442, 0.12283702927427508, -4.871932537501382, 0.12283702927427509, -21.169413685669053, 0.12283702927427508
-3.4329662001192456, 0.12283702927427509, -2.9493966452251827, 0.12283702927427509, -8.511934910825413, 0.12283702927427508
-5.029862154422058, 0.12283702927427508, -2.0279776965052703, 0.12283702927427508, -4.451873605993775, 0.12283702927427508
-7.608691735661536, 0.12283702927427508, -1.4024321509997804, 0.12283702927427509, -1.4287132289564044, 0.12283702927427509
-9.930558323269453, 0.12283702927427508, -1.2722064787172738, 0.12283702927427508, -0.7213314936366686, 0.12283702927427508
-15.675392546836413, 0.12283702927427509, -1.8327809507221442, 0.12283702927427508, -1.5613248069366668, 0.12283702927427508
